Call ID,Agent,Date,Time,Topic,Answered (Y/N),Resolved (Y/N),Speed of Answer (seconds),Satisfaction Rating
C0033,Joe,2021-01-01,15:50,Streaming,Y,N,89,5
C0034,Jim,2021-01-01,09:20,Streaming,Y,N,82,3
C0035,Dan,2021-01-01,17:05,Streaming,Y,N,66,2
C0036,Jim,2021-01-01,16:15,Payment related,Y,Y,81,3
C0037,Stewart,2021-01-01,11:42,Streaming,Y,Y,53,4
C0038,Martha,2021-01-01,17:59,Streaming,Y,Y,27,2
C0039,Dan,2021-01-01,11:16,Contract related,N,,262,
C0040,Dan,2021-01-01,11:18,Technical Support,Y,Y,118,4
C0041,Greg,2021-01-01,08:52,Contract related,Y,N,48,2
C0042,Dan,2021-01-01,10:35,Technical Support,Y,Y,41,5
C0043,Joe,2021-01-01,16:32,Technical Support,N,,156,
C0044,Greg,2021-01-01,09:27,Streaming,Y,Y,48,3
C0045,Becky,2021-01-01,13:45,Payment related,Y,N,103,5
C0046,Stewart,2021-01-01,14:53,Payment related,Y,Y,54,4
C0047,Jim,2021-01-01,17:55,Contract related,Y,Y,28,4
C0048,Becky,2021-01-01,14:55,Contract related,Y,N,45,5
C0049,Dan,2021-01-01,17:51,Contract related,Y,N,57,5
C0050,Diane,2021-01-01,12:42,Technical Support,Y,Y,19,5
C0051,Joe,2021-01-01,11:52,Technical Support,N,,261,
C0052,Diane,2021-01-01,11:01,Technical Support,Y,Y,113,3
C0053,Stewart,2021-01-01,14:25,Contract related,Y,N,37,4
C0054,Martha,2021-01-01,17:02,Payment related,Y,N,70,4
C0055,Diane,2021-01-01,13:24,Technical Support,Y,Y,118,4
C0056,Diane,2021-01-01,15:47,Technical Support,Y,Y,57,4
C0057,Greg,2021-01-01,15:07,Technical Support,Y,Y,104,3
C0058,Becky,2021-01-01,10:26,Payment related,N,,228,
C0059,Jim,2021-01-01,14:25,Technical Support,Y,N,92,4
C0060,Diane,2021-01-01,13:28,Technical Support,Y,N,109,3
C0061,Stewart,2021-01-01,09:32,Streaming,N,,180,
C0062,Diane,2021-01-01,15:14,Streaming,Y,N,93,5
C0063,Diane,2021-01-01,09:26,Payment related,Y,Y,33,4
C0064,Martha,2021-01-01,08:48,Admin Support,Y,N,104,4
C0065,Martha,2021-01-01,09:15,Technical Support,Y,Y,86,4
C0066,Joe,2021-01-01,17:57,Payment related,Y,Y,85,4
C0067,Joe,2021-01-01,10:55,Technical Support,Y,N,50,5
C0068,Diane,2021-01-01,13:40,Technical Support,Y,Y,49,4
C0069,Dan,2021-01-01,16:05,Streaming,Y,Y,42,2
C0070,Joe,2021-01-01,12:34,Technical Support,Y,Y,113,4
C0071,Becky,2021-01-01,15:54,Technical Support,N,,188,
C0072,Becky,2021-01-01,15:54,Technical Support,Y,N,43,4
C0073,Jim,2021-01-01,11:31,Technical Support,Y,N,107,3
C0074,Jim,2021-01-01,13:08,Contract related,Y,Y,25,4
C0075,Dan,2021-01-01,10:29,Streaming,Y,Y,56,4
C0076,Becky,2021-01-02,11:53,Technical Support,Y,Y,84,2
C0077,Martha,2021-01-02,17:14,Admin Support,Y,N,46,3
C0078,Diane,2021-01-02,08:09,Streaming,Y,Y,42,4
C0079,Dan,2021-01-02,11:23,Payment related,N,,241,
C0080,Dan,2021-01-02,10:52,Contract related,Y,Y,54,4
C0081,Becky,2021-01-02,17:24,Contract related,Y,Y,95,3
C0082,Martha,2021-01-02,15:19,Admin Support,Y,Y,83,4
C0083,Stewart,2021-01-02,12:32,Streaming,Y,Y,70,5
C0084,Joe,2021-01-02,14:53,Payment related,Y,N,98,3
C0085,Joe,2021-01-02,16:34,Technical Support,N,,225,
C0086,Diane,2021-01-02,11:54,Admin Support,Y,N,46,5
C0087,Becky,2021-01-02,14:42,Technical Support,Y,Y,77,3
C0088,Greg,2021-01-02,16:21,Contract related,Y,Y,16,4
C0089,Becky,2021-01-02,10:15,Technical Support,Y,Y,97,5
C0090,Martha,2021-01-02,13:01,Technical Support,Y,Y,99,4
C0091,Stewart,2021-01-02,13:33,Technical Support,Y,Y,104,4
C0092,Martha,2021-01-02,11:14,Payment related,Y,N,112,5
C0093,Joe,2021-01-02,10:47,Technical Support,Y,N,91,3
C0094,Greg,2021-01-02,10:12,Streaming,Y,Y,83,2
C0095,Greg,2021-01-02,09:03,Payment related,Y,N,77,2
C0096,Joe,2021-01-02,08:18,Technical Support,Y,N,47,5
C0097,Martha,2021-01-02,13:52,Technical Support,Y,Y,21,3
C0098,Martha,2021-01-02,16:19,Contract related,Y,N,92,4
C0099,Becky,2021-01-02,14:49,Technical Support,Y,N,69,3
C0100,Martha,2021-01-02,14:39,Contract related,Y,Y,99,2
C0101,Martha,2021-01-02,11:35,Streaming,Y,Y,75,3
C0102,Greg,2021-01-02,11:45,Payment related,Y,Y,48,5
C0103,Diane,2021-01-02,14:42,Technical Support,Y,Y,49,5
C0104,Greg,2021-01-02,09:10,Payment related,N,,267,
C0105,Joe,2021-01-02,11:07,Payment related,Y,N,79,4
C0106,Jim,2021-01-02,13:38,Contract related,Y,Y,18,2
C0107,Jim,2021-01-02,17:53,Contract related,Y,Y,20,5
C0108,Joe,2021-01-02,10:33,Contract related,Y,Y,96,5
C0109,Stewart,2021-01-02,17:30,Technical Support,Y,Y,35,3
C0110,Becky,2021-01-02,15:18,Admin Support,Y,Y,55,3
C0111,Becky,2021-01-02,10:49,Contract related,N,,150,
C0112,Joe,2021-01-02,15:34,Technical Support,Y,Y,111,4
C0113,Diane,2021-01-02,13:03,Technical Support,Y,Y,104,4
C0114,Diane,2021-01-02,08:40,Payment related,Y,Y,67,2
C0115,Martha,2021-01-02,17:58,Technical Support,Y,N,78,5
C0116,Greg,2021-01-02,11:45,Technical Support,Y,Y,73,4
C0117,Dan,2021-01-02,12:58,Contract related,Y,N,68,4
C0118,Jim,2021-01-02,16:17,Technical Support,Y,Y,99,4
C0119,Joe,2021-01-02,10:34,Technical Support,Y,Y,73,5
C0120,Diane,2021-01-02,16:44,Payment related,Y,N,20,3
C0121,Becky,2021-01-02,13:58,Technical Support,Y,N,34,4
C0122,Stewart,2021-01-02,08:32,Contract related,N,,206,
C0123,Jim,2021-01-03,14:29,Payment related,Y,Y,34,2
C0124,Stewart,2021-01-03,15:16,Payment related,Y,Y,57,5
C0125,Stewart,2021-01-03,16:24,Payment related,N,,212,
C0126,Martha,2021-01-03,16:02,Streaming,Y,Y,44,5
C0127,Martha,2021-01-03,12:06,Technical Support,Y,N,20,3
C0128,Stewart,2021-01-03,09:22,Technical Support,Y,Y,102,5
C0129,Becky,2021-01-03,10:05,Payment related,Y,N,33,3
C0130,Greg,2021-01-03,14:29,Payment related,N,,209,
C0131,Dan,2021-01-03,17:43,Streaming,N,,225,
C0132,Greg,2021-01-03,11:27,Technical Support,Y,N,76,2
C0133,Greg,2021-01-03,12:22,Contract related,Y,N,99,4
C0134,Jim,2021-01-03,08:55,Contract related,Y,N,51,5
C0135,Stewart,2021-01-03,11:51,Streaming,Y,Y,111,5
C0136,Dan,2021-01-03,15:53,Payment related,N,,232,
C0137,Joe,2021-01-03,09:50,Streaming,Y,Y,52,3
C0138,Dan,2021-01-03,12:12,Admin Support,N,,196,
C0139,Greg,2021-01-03,14:58,Admin Support,Y,N,76,5
C0140,Stewart,2021-01-03,11:55,Admin Support,Y,Y,111,5
C0141,Becky,2021-01-03,16:46,Contract related,Y,Y,116,4
C0142,Joe,2021-01-03,11:07,Technical Support,Y,Y,63,5
C0143,Diane,2021-01-03,17:06,Technical Support,Y,N,56,5
C0144,Joe,2021-01-03,11:04,Contract related,Y,Y,32,1
C0145,Martha,2021-01-03,08:31,Streaming,N,,167,
C0146,Becky,2021-01-03,12:23,Payment related,Y,N,98,2
C0147,Greg,2021-01-03,13:26,Streaming,Y,Y,45,5
C0148,Stewart,2021-01-03,09:43,Technical Support,N,,195,
C0149,Diane,2021-01-03,09:17,Contract related,N,,255,
C0150,Diane,2021-01-03,13:42,Payment related,Y,Y,115,4
C0151,Diane,2021-01-03,17:50,Streaming,Y,Y,42,5
C0152,Dan,2021-01-03,11:49,Admin Support,Y,Y,33,5
C0153,Dan,2021-01-03,14:51,Streaming,N,,166,
C0154,Diane,2021-01-03,08:50,Payment related,Y,Y,31,5
C0155,Martha,2021-01-03,14:47,Technical Support,Y,Y,28,4
C0156,Jim,2021-01-03,11:39,Payment related,N,,234,
C0157,Jim,2021-01-03,13:29,Streaming,Y,Y,102,2
C0158,Martha,2021-01-03,15:28,Contract related,Y,Y,31,3
C0159,Stewart,2021-01-03,14:35,Technical Support,Y,Y,79,4
C0160,Martha,2021-01-03,09:44,Contract related,Y,N,107,5
C0161,Becky,2021-01-04,13:14,Technical Support,Y,Y,27,3
C0162,Stewart,2021-01-04,11:16,Contract related,Y,Y,26,5
C0163,Stewart,2021-01-04,09:06,Admin Support,Y,Y,86,4
C0164,Stewart,2021-01-04,15:26,Contract related,N,,204,
C0165,Jim,2021-01-04,16:46,Contract related,Y,Y,88,4
C0166,Diane,2021-01-04,10:30,Admin Support,Y,Y,29,5
C0167,Becky,2021-01-04,14:51,Admin Support,N,,254,
C0168,Jim,2021-01-04,14:43,Payment related,Y,Y,18,3
C0169,Stewart,2021-01-04,15:19,Technical Support,Y,Y,99,4
C0170,Jim,2021-01-04,10:40,Streaming,Y,Y,73,4
C0171,Stewart,2021-01-04,12:46,Admin Support,Y,Y,21,3
C0172,Martha,2021-01-04,15:03,Technical Support,Y,Y,71,4
C0173,Martha,2021-01-04,11:32,Technical Support,Y,Y,90,4
C0174,Diane,2021-01-04,15:02,Technical Support,Y,Y,53,5
C0175,Greg,2021-01-04,15:48,Technical Support,Y,Y,70,3
C0176,Diane,2021-01-04,12:45,Technical Support,N,,253,
C0177,Jim,2021-01-04,12:25,Technical Support,Y,Y,55,4
C0178,Becky,2021-01-04,14:45,Technical Support,Y,N,36,5
C0179,Stewart,2021-01-04,14:53,Streaming,N,,181,
C0180,Martha,2021-01-04,12:25,Technical Support,Y,Y,57,5
C0181,Martha,2021-01-04,09:40,Technical Support,Y,N,59,5
C0182,Dan,2021-01-04,16:52,Streaming,Y,Y,92,3
C0183,Dan,2021-01-04,15:04,Contract related,Y,Y,87,5
C0184,Stewart,2021-01-04,13:59,Contract related,Y,Y,23,4
C0185,Greg,2021-01-04,14:50,Payment related,Y,Y,74,4
C0186,Greg,2021-01-04,09:53,Streaming,N,,259,
C0187,Becky,2021-01-04,09:38,Technical Support,Y,N,20,4
C0188,Diane,2021-01-04,16:41,Technical Support,Y,Y,22,4
C0189,Stewart,2021-01-04,16:53,Contract related,Y,Y,20,3
C0190,Dan,2021-01-04,13:28,Technical Support,N,,199,
C0191,Jim,2021-01-04,12:21,Admin Support,Y,Y,27,4
C0192,Dan,2021-01-04,12:16,Technical Support,Y,Y,59,3
C0193,Becky,2021-01-04,15:42,Streaming,Y,Y,86,4
C0194,Dan,2021-01-04,16:52,Payment related,N,,244,
C0195,Martha,2021-01-04,17:58,Payment related,Y,Y,61,3
C0196,Joe,2021-01-04,17:21,Streaming,N,,169,
C0197,Martha,2021-01-04,09:54,Technical Support,Y,N,82,1
C0198,Dan,2021-01-04,12:49,Payment related,Y,Y,103,5
C0199,Joe,2021-01-04,16:10,Streaming,Y,Y,71,4
C0200,Joe,2021-01-04,15:50,Streaming,Y,N,115,4
C0201,Joe,2021-01-04,16:23,Technical Support,Y,Y,82,4
C0202,Dan,2021-01-04,10:12,Contract related,Y,Y,62,4
C0203,Martha,2021-01-04,10:54,Technical Support,Y,Y,80,3
C0204,Diane,2021-01-04,12:58,Admin Support,N,,269,
C0205,Becky,2021-01-04,08:03,Technical Support,Y,N,62,3
C0206,Stewart,2021-01-04,11:06,Admin Support,Y,Y,75,5
C0207,Joe,2021-01-04,10:45,Technical Support,Y,Y,47,3
C0208,Becky,2021-01-04,10:46,Streaming,Y,Y,21,3
C0209,Joe,2021-01-04,14:39,Streaming,N,,213,
C0210,Diane,2021-01-04,14:01,Payment related,Y,Y,60,3
C0211,Martha,2021-01-04,12:42,Technical Support,Y,N,84,4
C0212,Jim,2021-01-04,17:35,Technical Support,Y,Y,62,3
C0213,Martha,2021-01-04,08:50,Technical Support,Y,Y,113,4
C0214,Jim,2021-01-04,15:08,Technical Support,Y,Y,114,5
C0215,Dan,2021-01-04,17:30,Admin Support,Y,N,73,1
C0216,Diane,2021-01-04,11:50,Contract related,Y,Y,65,5
C0217,Jim,2021-01-04,14:16,Admin Support,Y,Y,114,1
C0218,Martha,2021-01-04,15:17,Admin Support,Y,Y,71,5
C0219,Joe,2021-01-04,12:11,Payment related,Y,N,49,5
C0220,Becky,2021-01-04,15:05,Payment related,N,,219,
C0221,Martha,2021-01-04,11:06,Technical Support,Y,Y,106,4
C0222,Joe,2021-01-04,15:22,Streaming,N,,195,
C0223,Greg,2021-01-04,14:27,Payment related,Y,Y,100,4
C0224,Dan,2021-01-04,12:51,Contract related,Y,Y,115,4
C0225,Stewart,2021-01-04,10:15,Technical Support,N,,154,
C0226,Joe,2021-01-04,14:43,Contract related,Y,N,88,3
C0227,Greg,2021-01-04,12:20,Streaming,Y,N,78,4
C0228,Greg,2021-01-04,17:07,Admin Support,Y,Y,93,3
C0229,Martha,2021-01-05,11:08,Technical Support,N,,206,
C0230,Stewart,2021-01-05,17:51,Payment related,Y,Y,52,5
C0231,Dan,2021-01-05,16:45,Admin Support,Y,Y,40,5
C0232,Jim,2021-01-05,11:31,Technical Support,Y,Y,85,2
C0233,Greg,2021-01-05,16:04,Technical Support,Y,Y,67,5
C0234,Dan,2021-01-05,16:04,Contract related,Y,Y,102,4
C0235,Dan,2021-01-05,10:53,Admin Support,Y,Y,22,5
C0236,Dan,2021-01-05,13:19,Streaming,N,,178,
C0237,Greg,2021-01-05,12:33,Admin Support,Y,Y,85,3
C0238,Martha,2021-01-05,14:39,Technical Support,Y,N,34,3
C0239,Stewart,2021-01-05,14:57,Admin Support,Y,N,18,2
C0240,Greg,2021-01-05,17:49,Payment related,Y,Y,96,1
C0241,Greg,2021-01-05,16:34,Payment related,Y,Y,118,5
C0242,Jim,2021-01-05,11:04,Streaming,Y,Y,58,4
C0243,Stewart,2021-01-05,11:45,Payment related,N,,201,
C0244,Martha,2021-01-05,10:23,Technical Support,Y,Y,46,3
C0245,Becky,2021-01-05,09:24,Streaming,N,,170,
C0246,Stewart,2021-01-05,16:59,Streaming,Y,N,74,4
C0247,Martha,2021-01-05,11:01,Contract related,Y,N,42,4
C0248,Joe,2021-01-05,09:18,Payment related,N,,236,
C0249,Jim,2021-01-05,13:34,Admin Support,Y,N,108,4
C0250,Becky,2021-01-05,12:02,Streaming,Y,Y,51,2
C0251,Greg,2021-01-05,13:48,Admin Support,Y,Y,31,5
C0252,Stewart,2021-01-05,12:50,Payment related,Y,Y,92,4
C0253,Jim,2021-01-05,13:02,Streaming,Y,Y,73,3
C0254,Stewart,2021-01-05,16:08,Contract related,Y,Y,93,5
C0255,Joe,2021-01-05,11:21,Payment related,Y,N,62,4
C0256,Greg,2021-01-05,10:26,Admin Support,Y,Y,18,4
C0257,Diane,2021-01-05,11:41,Payment related,Y,Y,95,5
C0258,Dan,2021-01-05,15:24,Admin Support,Y,Y,104,2
C0259,Becky,2021-01-05,08:20,Streaming,Y,Y,114,4
C0260,Jim,2021-01-05,13:54,Payment related,Y,Y,99,4
C0261,Joe,2021-01-05,12:11,Contract related,Y,Y,113,5
C0262,Greg,2021-01-05,15:51,Payment related,Y,Y,86,3
C0263,Greg,2021-01-05,17:19,Payment related,Y,Y,76,4
C0264,Greg,2021-01-05,17:50,Technical Support,Y,Y,65,5
C0265,Dan,2021-01-05,17:51,Technical Support,Y,Y,59,5
C0266,Joe,2021-01-05,15:47,Streaming,N,,184,
C0267,Greg,2021-01-05,17:44,Streaming,Y,Y,46,2
C0268,Diane,2021-01-05,17:14,Streaming,Y,Y,27,5
C0269,Dan,2021-01-05,10:35,Technical Support,N,,262,
C0270,Diane,2021-01-05,13:41,Admin Support,Y,Y,22,5
C0271,Diane,2021-01-05,09:36,Technical Support,Y,N,37,4
C0272,Jim,2021-01-05,16:59,Contract related,Y,Y,110,5
C0273,Jim,2021-01-05,17:56,Streaming,Y,Y,57,3
C0274,Joe,2021-01-05,17:34,Contract related,Y,Y,49,3
C0275,Joe,2021-01-05,10:10,Payment related,Y,Y,58,5
C0276,Diane,2021-01-05,14:48,Streaming,N,,264,
C0277,Stewart,2021-01-05,12:27,Streaming,Y,Y,32,4
C0278,Greg,2021-01-05,17:00,Technical Support,Y,Y,57,3
C0279,Greg,2021-01-05,15:00,Payment related,Y,Y,30,4
C0280,Greg,2021-01-05,10:43,Payment related,Y,N,62,4
C0281,Joe,2021-01-05,11:08,Streaming,Y,Y,68,5
C0282,Diane,2021-01-05,17:48,Admin Support,Y,Y,115,2
C0283,Stewart,2021-01-05,13:45,Streaming,Y,Y,85,5
C0284,Dan,2021-01-05,11:34,Streaming,N,,206,
C0285,Joe,2021-01-05,10:13,Streaming,Y,N,73,3
C0286,Jim,2021-01-05,12:36,Payment related,Y,Y,17,4
C0287,Diane,2021-01-05,16:47,Payment related,Y,Y,23,4
C0288,Martha,2021-01-05,09:57,Contract related,Y,Y,38,5
C0289,Becky,2021-01-05,15:46,Technical Support,N,,207,
C0290,Becky,2021-01-05,16:58,Technical Support,Y,Y,84,3
C0291,Dan,2021-01-05,16:07,Contract related,Y,Y,43,5
C0292,Joe,2021-01-05,15:19,Payment related,Y,Y,120,3
C0293,Greg,2021-01-05,13:09,Streaming,N,,247,
C0294,Becky,2021-01-05,10:51,Payment related,N,,263,
C0295,Martha,2021-01-05,08:13,Streaming,Y,Y,105,5
C0296,Becky,2021-01-05,11:02,Technical Support,Y,N,114,2
C0297,Diane,2021-01-05,13:18,Admin Support,Y,Y,91,5
C0298,Greg,2021-01-05,16:15,Contract related,N,,216,
C0299,Jim,2021-01-06,12:17,Payment related,Y,N,37,4
C0300,Jim,2021-01-06,12:31,Contract related,N,,235,
C0301,Stewart,2021-01-06,12:33,Payment related,Y,Y,38,5
C0302,Diane,2021-01-06,13:54,Technical Support,Y,N,22,4
C0303,Dan,2021-01-06,17:35,Technical Support,Y,Y,25,5
C0304,Diane,2021-01-06,16:05,Streaming,Y,Y,20,5
C0305,Diane,2021-01-06,10:48,Technical Support,N,,192,
C0306,Jim,2021-01-06,11:58,Streaming,Y,N,110,5
C0307,Diane,2021-01-06,13:15,Technical Support,Y,Y,51,4
C0308,Greg,2021-01-06,14:22,Technical Support,Y,Y,27,5
C0309,Stewart,2021-01-06,15:48,Contract related,Y,Y,87,5
C0310,Greg,2021-01-06,15:01,Payment related,Y,Y,52,3
C0311,Diane,2021-01-06,12:24,Technical Support,Y,Y,47,5
C0312,Joe,2021-01-06,13:46,Technical Support,Y,Y,32,5
C0313,Jim,2021-01-06,13:58,Technical Support,N,,159,
C0314,Jim,2021-01-06,17:42,Admin Support,Y,N,44,2
C0315,Joe,2021-01-06,10:13,Technical Support,Y,Y,93,5
C0316,Jim,2021-01-06,15:01,Technical Support,Y,Y,107,3
C0317,Becky,2021-01-06,17:01,Admin Support,N,,163,
C0318,Dan,2021-01-06,17:33,Streaming,Y,Y,60,3
C0319,Becky,2021-01-06,12:23,Technical Support,Y,Y,53,5
C0320,Jim,2021-01-06,16:41,Streaming,Y,Y,22,4
C0321,Joe,2021-01-06,15:05,Admin Support,Y,Y,27,5
C0322,Diane,2021-01-06,17:14,Contract related,Y,Y,49,1
C0323,Greg,2021-01-06,09:59,Contract related,Y,Y,55,1
C0324,Becky,2021-01-06,11:09,Contract related,Y,Y,87,5
C0325,Stewart,2021-01-06,12:57,Technical Support,Y,N,103,5
C0326,Jim,2021-01-06,13:22,Streaming,Y,Y,92,5
C0327,Stewart,2021-01-06,17:25,Streaming,Y,N,77,3
C0328,Becky,2021-01-06,14:24,Streaming,Y,Y,113,4
C0329,Martha,2021-01-06,16:45,Streaming,Y,Y,96,3
C0330,Martha,2021-01-06,12:23,Streaming,N,,206,
C0331,Martha,2021-01-06,12:17,Streaming,Y,Y,86,4
C0332,Stewart,2021-01-06,10:05,Payment related,Y,N,64,1
C0333,Martha,2021-01-06,12:49,Payment related,Y,N,46,4
C0334,Dan,2021-01-06,10:24,Streaming,Y,Y,23,3
C0335,Joe,2021-01-06,11:19,Admin Support,Y,N,107,4
C0336,Joe,2021-01-06,14:12,Streaming,Y,N,57,5
C0337,Stewart,2021-01-06,12:55,Technical Support,Y,N,98,5
C0338,Diane,2021-01-06,10:20,Technical Support,Y,Y,55,3
C0339,Diane,2021-01-06,15:31,Technical Support,Y,N,61,2
C0340,Dan,2021-01-06,14:37,Payment related,Y,N,74,5
C0341,Greg,2021-01-06,11:51,Admin Support,Y,N,116,4
C0342,Greg,2021-01-06,13:40,Streaming,Y,Y,116,4
C0343,Joe,2021-01-06,13:38,Payment related,Y,N,103,4
C0344,Martha,2021-01-06,08:23,Streaming,Y,Y,36,4
C0345,Becky,2021-01-06,09:41,Contract related,Y,N,28,1
C0346,Diane,2021-01-06,11:32,Technical Support,Y,N,90,5
C0347,Joe,2021-01-06,10:01,Streaming,Y,N,29,5
C0348,Greg,2021-01-06,15:22,Technical Support,Y,Y,59,4
C0349,Joe,2021-01-06,13:44,Technical Support,Y,N,29,1
C0350,Dan,2021-01-06,12:06,Contract related,Y,Y,85,3
C0351,Diane,2021-01-06,14:29,Admin Support,Y,Y,99,4
C0352,Diane,2021-01-06,08:39,Technical Support,Y,Y,42,3
C0353,Martha,2021-01-06,15:51,Payment related,Y,Y,61,3
C0354,Joe,2021-01-06,13:16,Technical Support,Y,Y,93,4
C0355,Joe,2021-01-06,10:22,Payment related,N,,240,
C0356,Martha,2021-01-06,16:58,Payment related,Y,Y,29,3
C0357,Becky,2021-01-06,15:32,Technical Support,Y,Y,38,4
C0358,Dan,2021-01-06,14:58,Payment related,Y,Y,55,5
C0359,Stewart,2021-01-06,14:55,Contract related,Y,Y,64,5
C0360,Becky,2021-01-06,13:31,Payment related,Y,N,77,3
C0361,Diane,2021-01-07,08:48,Technical Support,Y,Y,36,5
C0362,Joe,2021-01-07,14:49,Technical Support,Y,Y,114,4
C0363,Jim,2021-01-07,17:34,Admin Support,Y,Y,69,2
C0364,Diane,2021-01-07,16:48,Technical Support,N,,207,
C0365,Martha,2021-01-07,11:55,Technical Support,N,,249,
C0366,Stewart,2021-01-07,16:13,Contract related,Y,Y,93,3
C0367,Jim,2021-01-07,11:13,Payment related,Y,Y,36,3
C0368,Greg,2021-01-07,15:18,Contract related,Y,N,119,2
C0369,Becky,2021-01-07,17:50,Contract related,N,,260,
C0370,Dan,2021-01-07,15:44,Streaming,Y,N,112,5
C0371,Greg,2021-01-07,12:09,Payment related,Y,Y,116,5
C0372,Greg,2021-01-07,09:32,Payment related,N,,208,
C0373,Jim,2021-01-07,17:20,Contract related,N,,161,
C0374,Stewart,2021-01-07,15:29,Contract related,Y,Y,69,5
C0375,Greg,2021-01-07,13:20,Technical Support,Y,Y,77,5
C0376,Jim,2021-01-07,16:48,Streaming,Y,N,17,2
C0377,Joe,2021-01-07,16:28,Streaming,N,,175,
C0378,Dan,2021-01-07,17:58,Contract related,Y,N,50,2
C0379,Stewart,2021-01-07,12:05,Payment related,Y,Y,95,3
C0380,Becky,2021-01-07,15:14,Payment related,Y,Y,76,2
C0381,Joe,2021-01-07,14:33,Streaming,Y,N,69,5
C0382,Becky,2021-01-07,13:14,Streaming,Y,Y,62,5
C0383,Dan,2021-01-07,10:49,Payment related,Y,Y,87,1
C0384,Stewart,2021-01-07,15:28,Payment related,Y,Y,67,4
C0385,Martha,2021-01-07,13:13,Contract related,Y,Y,108,4
C0386,Dan,2021-01-07,17:20,Streaming,Y,Y,91,4
C0387,Jim,2021-01-07,14:49,Admin Support,Y,Y,81,4
C0388,Greg,2021-01-07,10:25,Payment related,Y,N,45,4
C0389,Martha,2021-01-07,10:31,Technical Support,N,,196,
C0390,Becky,2021-01-07,17:08,Contract related,Y,Y,102,3
C0391,Martha,2021-01-07,13:49,Streaming,Y,Y,20,5
C0392,Greg,2021-01-07,17:25,Payment related,Y,Y,104,4
C0393,Dan,2021-01-07,14:34,Technical Support,Y,Y,41,5
C0394,Becky,2021-01-07,10:20,Payment related,Y,Y,97,2
C0395,Diane,2021-01-07,15:46,Streaming,Y,Y,73,4
C0396,Dan,2021-01-07,09:42,Streaming,Y,Y,35,4
C0397,Greg,2021-01-07,12:33,Streaming,Y,N,49,5
C0398,Jim,2021-01-07,10:57,Technical Support,Y,Y,48,5
C0399,Joe,2021-01-07,14:04,Technical Support,Y,Y,87,3
C0400,Martha,2021-01-07,10:49,Contract related,Y,Y,109,4
C0401,Jim,2021-01-07,09:55,Streaming,Y,Y,34,3
C0402,Becky,2021-01-07,17:02,Streaming,Y,N,55,3
C0403,Martha,2021-01-07,09:23,Technical Support,N,,172,
C0404,Jim,2021-01-07,11:33,Contract related,Y,Y,51,5
C0405,Joe,2021-01-07,11:05,Streaming,Y,Y,53,5
C0406,Joe,2021-01-07,11:23,Contract related,Y,N,84,5
C0407,Becky,2021-01-07,11:00,Streaming,Y,Y,103,5
C0408,Becky,2021-01-07,17:00,Admin Support,Y,Y,82,5
C0409,Dan,2021-01-07,12:03,Payment related,Y,N,81,4
C0410,Martha,2021-01-07,16:29,Payment related,Y,Y,65,2
C0411,Dan,2021-01-07,14:27,Streaming,Y,Y,117,4
C0412,Stewart,2021-01-07,16:20,Technical Support,Y,N,32,5
