CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0014,Male,Yes,No,No,38,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),94.35,3619.48,No
CUST-0015,Female,No,No,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,29.96,943.78,No
CUST-0016,Female,No,No,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),45.21,2170.29,No
CUST-0017,Male,No,Yes,Yes,19,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,45.21,904.28,Yes
CUST-0018,Female,No,No,Yes,33,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),71.08,2358.92,No
CUST-0019,Male,No,Yes,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,39.67,1753.16,No
CUST-0020,Male,No,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.48,64.5,No
CUST-0021,Male,No,Yes,No,5,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,96.14,477.85,Yes
CUST-0022,Male,Yes,Yes,Yes,16,Yes,No,Fiber optic,Yes,No internet service,No,No,No,Yes,One year,No,Mailed check,76.45,1227.34,Yes
CUST-0023,Male,Yes,Yes,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,15.59,484.17,Yes
CUST-0024,Female,Yes,Yes,No,69,Yes,No,Fiber optic,No,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,85.69,5912.19,No
CUST-0025,Female,No,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),15.69,349.75,No
CUST-0026,Male,Yes,Yes,No,23,Yes,Yes,DSL,No,Yes,No,No,Yes,No internet service,Month-to-month,No,Electronic check,65.45,1538.06,No
CUST-0027,Male,No,No,Yes,20,Yes,No,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,93.07,1857.5,Yes
CUST-0028,Male,No,Yes,Yes,24,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Electronic check,90.6,2203.97,Yes
CUST-0029,Male,Yes,Yes,Yes,43,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),88.56,3804.29,Yes
CUST-0030,Female,No,No,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.49,860.26,No
CUST-0031,Female,No,Yes,No,68,Yes,Yes,DSL,No internet service,No,No,Yes,No,No,Two year,Yes,Mailed check,53.28,3644.49,No
CUST-0032,Female,No,No,No,22,Yes,Yes,DSL,No,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),71.04,1601.77,Yes
CUST-0033,Male,No,No,Yes,9,Yes,Yes,DSL,No internet service,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,41.32,383.64,No
CUST-0034,Female,No,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),90.49,6447.29,Yes
CUST-0035,Female,No,Yes,No,53,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,66.75,3537.65,No
CUST-0036,Male,No,Yes,No,58,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.75,1827.06,No
CUST-0037,Female,No,Yes,Yes,23,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,49.28,1168.22,Yes
CUST-0038,Female,No,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),92.06,1029.9,Yes
CUST-0039,Male,No,Yes,No,36,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,No,One year,No,Electronic check,55.32,2006.92,No
CUST-0040,Female,No,No,No,22,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Mailed check,83.75,1865.53,No
CUST-0041,Female,Yes,No,No,1,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No,Month-to-month,No,Mailed check,95.36,83.27,Yes
CUST-0042,Male,Yes,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.23,60.65,Yes
CUST-0043,Female,No,Yes,No,45,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),68.52,3089.22,No
CUST-0044,Female,No,Yes,No,12,Yes,No,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,One year,No,Credit card (automatic),71.12,858.57,No
CUST-0045,Female,No,No,No,40,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),78.61,3146.86,Yes
CUST-0046,Male,Yes,Yes,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,40.73,888.58,No
CUST-0047,Male,No,Yes,No,5,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),62.3,339.51,Yes
CUST-0048,Female,No,No,No,38,Yes,No,DSL,No,No internet service,No internet service,No,Yes,No,Two year,No,Mailed check,70.61,2731.19,No
CUST-0049,Male,Yes,No,Yes,14,Yes,Yes,DSL,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),46.09,652.24,Yes
CUST-0050,Male,No,No,No,10,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,79.57,790.5,Yes
CUST-0051,Female,No,No,Yes,3,No,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),80.88,241.6,Yes
CUST-0052,Female,No,Yes,No,58,No,No phone service,Fiber optic,No,Yes,No,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),86.08,5034.5,No
CUST-0053,Female,No,Yes,Yes,20,Yes,No,DSL,No,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,53.04,1057.78,No
CUST-0054,Female,No,No,Yes,68,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,77.76,5321.63,No
CUST-0055,Male,No,Yes,Yes,19,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,92.19,1793.02,No
CUST-0056,Male,No,Yes,No,27,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),92.64,2502.91,No
CUST-0057,Female,No,No,No,3,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,73.12,234.68,Yes
CUST-0058,Female,No,Yes,Yes,33,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,67.64,2248.16,Yes
CUST-0059,Male,No,No,No,17,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,96.74,1670.67,No
CUST-0060,Female,Yes,Yes,No,71,Yes,No,DSL,Yes,No,Yes,No,Yes,No internet service,Two year,No,Credit card (automatic),45.5,3280.48,Yes
CUST-0061,Male,No,No,No,53,Yes,Yes,DSL,Yes,No internet service,No internet service,No,Yes,No,Two year,Yes,Bank transfer (automatic),60.66,3222.73,No
CUST-0062,Male,No,Yes,Yes,33,Yes,No,DSL,No,No internet service,No internet service,No internet service,Yes,No,One year,No,Mailed check,48.89,1657.57,Yes
CUST-0063,Male,Yes,Yes,No,10,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),57.95,583.43,Yes
CUST-0064,Female,No,No,No,16,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,90.41,1443.69,Yes
CUST-0065,Male,No,No,No,15,Yes,No,DSL,No,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),66.72,1029.24,Yes
CUST-0066,Female,No,No,No,20,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,50.8,1051.18,No
CUST-0067,Male,No,Yes,No,43,Yes,Yes,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Two year,No,Bank transfer (automatic),47.34,2056.52,No
CUST-0068,Male,No,No,No,24,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,Yes,No internet service,One year,Yes,Electronic check,86.31,2093.85,No
CUST-0069,Female,No,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,22.11,1527.18,No
CUST-0070,Female,No,No,No,26,Yes,No,Fiber optic,No,No,No internet service,No,No,Yes,One year,Yes,Mailed check,75.67,1961.64,Yes
CUST-0071,Male,No,Yes,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,35.79,1427.81,Yes
CUST-0072,Female,No,No,No,16,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),71.73,1171.69,Yes
CUST-0073,Male,No,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,37.26,2691.11,No
CUST-0074,Male,No,Yes,No,4,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Mailed check,53.4,225.16,No
CUST-0075,Female,No,No,Yes,5,No,No phone service,Fiber optic,Yes,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,65.23,335.92,No
CUST-0076,Female,No,Yes,No,15,Yes,Yes,DSL,No,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.22,959.13,Yes
CUST-0077,Female,No,Yes,Yes,22,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,42.68,973.25,No
CUST-0078,Female,No,No,No,8,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),97.44,770.25,Yes
CUST-0079,Male,No,Yes,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,32.69,928.99,No
CUST-0080,Female,No,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),72.97,1717.02,No
CUST-0081,Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),79.28,1993.96,Yes
CUST-0082,Male,No,No,No,21,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,95.68,2050.27,Yes
CUST-0083,Male,No,No,No,27,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No,No internet service,One year,Yes,Credit card (automatic),78.14,2129.33,No
CUST-0084,Male,Yes,Yes,No,40,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),76.32,3055.1,No
CUST-0085,Female,No,No,No,1,Yes,No,DSL,No,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),42.58,79.24,Yes
CUST-0086,Female,No,No,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),28.6,1745.77,No
CUST-0087,Female,No,No,No,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.74,112.34,No
CUST-0088,Male,No,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),74.25,873.67,Yes
CUST-0089,Male,No,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.94,845.15,No
CUST-0090,Female,No,Yes,No,9,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),85.69,769.58,No
CUST-0091,Male,No,No,Yes,33,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,56.2,1891.87,No
CUST-0092,Male,No,Yes,No,10,No,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),87.43,894.05,Yes
CUST-0093,Male,No,No,No,7,Yes,Yes,DSL,No,No internet service,No,No,No,No,Month-to-month,No,Bank transfer (automatic),71.16,489.08,Yes
CUST-0094,Male,No,No,Yes,62,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Mailed check,94.79,5898.52,No
CUST-0095,Male,No,No,No,15,Yes,Yes,DSL,No,No,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),70.27,1083.91,No
CUST-0096,Male,No,No,No,48,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),79.22,3838.12,No
CUST-0097,Female,No,No,No,35,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,60.23,2150.02,No
CUST-0098,Female,No,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,77.93,276.85,Yes
CUST-0099,Male,No,Yes,No,3,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),97.92,287.77,Yes
CUST-0100,Male,No,No,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,33.47,1820.09,No
CUST-0101,Female,No,Yes,Yes,67,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,Yes,No,Two year,Yes,Mailed check,92.71,6202.56,No
CUST-0102,Male,Yes,No,No,15,Yes,No,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,One year,No,Mailed check,96.1,1455.66,No
CUST-0103,Male,No,Yes,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,40.75,752.75,Yes
CUST-0104,Male,No,No,No,15,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),84.19,1290.08,Yes
CUST-0105,Female,No,Yes,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,68.32,225.02,No
CUST-0106,Female,No,No,Yes,12,Yes,Yes,DSL,No,No,No,Yes,No internet service,No,Month-to-month,No,Electronic check,41.47,505.57,Yes
CUST-0107,Male,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No internet service,Two year,No,Bank transfer (automatic),78.49,1999.94,No
CUST-0108,Female,No,Yes,No,31,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,One year,No,Electronic check,95.23,2946.41,No
CUST-0109,Male,Yes,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,92.92,391.85,No
CUST-0110,Male,No,Yes,Yes,12,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),80.86,954.75,No
CUST-0111,Male,No,No,No,34,No,No phone service,Fiber optic,Yes,No,No internet service,No,No,Yes,One year,No,Electronic check,73.24,2518.71,No
CUST-0112,Female,No,Yes,Yes,62,Yes,No,DSL,No,No internet service,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),55.52,3462.82,No
CUST-0113,Male,No,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),41.44,85.66,Yes
CUST-0114,Female,No,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.87,367.32,No
CUST-0115,Male,No,Yes,No,7,Yes,No phone service,DSL,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,No,Mailed check,65.0,441.99,Yes
CUST-0116,Female,No,Yes,No,44,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No internet service,One year,Yes,Electronic check,79.02,3504.98,No
CUST-0117,Male,No,No,No,35,Yes,No,DSL,No,No internet service,Yes,No,No,No internet service,One year,Yes,Bank transfer (automatic),74.79,2643.3,No
CUST-0118,Female,No,Yes,No,27,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No,No,One year,Yes,Bank transfer (automatic),72.05,1938.57,No
CUST-0119,Female,No,No,No,67,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,Yes,No,Two year,Yes,Electronic check,66.54,4486.63,Yes
CUST-0120,Female,No,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.56,94.02,Yes
CUST-0121,Female,No,Yes,Yes,57,Yes,No phone service,DSL,No,No internet service,No,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),60.62,3438.29,No
CUST-0122,Female,No,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,82.68,675.7,Yes
CUST-0123,Male,No,No,No,32,Yes,No phone service,DSL,Yes,No internet service,No,No,No,No internet service,Two year,No,Bank transfer (automatic),71.78,2323.85,No
CUST-0124,Male,No,No,No,11,Yes,No phone service,Fiber optic,Yes,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),74.47,817.98,No
CUST-0125,Male,No,Yes,No,9,No,No phone service,DSL,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),58.08,539.01,No
CUST-0126,Female,No,Yes,No,15,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,57.84,861.93,Yes
CUST-0127,Male,Yes,No,No,24,Yes,Yes,DSL,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,62.57,1499.4,No
CUST-0128,Male,No,No,No,4,No,No phone service,DSL,Yes,No,No,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),67.63,290.28,No
CUST-0129,Female,No,Yes,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.8,278.54,No
CUST-0130,Female,No,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,66.1,494.22,No
CUST-0131,Female,Yes,No,No,64,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,No,Two year,Yes,Electronic check,93.0,5962.7,Yes
CUST-0132,Female,No,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.51,420.81,No
CUST-0133,Female,No,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.67,726.05,Yes
CUST-0134,Female,Yes,Yes,No,23,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),66.04,1508.36,No
CUST-0135,Male,No,Yes,No,7,No,No phone service,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,60.75,413.81,No
CUST-0136,Female,No,No,No,1,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,72.5,75.82,Yes
CUST-0137,Male,No,Yes,No,54,Yes,No,Fiber optic,No internet service,Yes,No,No,No,Yes,Two year,Yes,Mailed check,80.58,4373.85,Yes
CUST-0138,Male,No,Yes,No,47,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Mailed check,45.98,2192.12,No
CUST-0139,Male,No,No,Yes,20,Yes,No,Fiber optic,No,No,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),85.37,1748.11,Yes
CUST-0140,Male,No,No,Yes,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.99,357.27,No
CUST-0141,Female,No,Yes,No,1,Yes,Yes,DSL,No,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,67.45,65.39,No
CUST-0142,Female,No,Yes,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,32.08,1439.19,No
CUST-0143,Female,No,No,Yes,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),77.07,137.71,Yes
CUST-0144,Male,No,No,No,6,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),80.36,513.68,Yes
CUST-0145,Female,No,Yes,No,36,Yes,No,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,One year,Yes,Electronic check,90.97,3318.49,No
CUST-0146,Male,No,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,47.44,222.92,No
CUST-0147,Male,No,Yes,No,1,Yes,No phone service,DSL,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),58.53,90.79,Yes
CUST-0148,Male,No,No,No,38,Yes,No,Fiber optic,Yes,No,No internet service,Yes,Yes,Yes,Two year,Yes,Electronic check,78.32,2972.19,No
CUST-0149,Male,Yes,Yes,No,17,No,No phone service,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),97.34,1674.54,No
CUST-0150,Female,No,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,15.79,279.66,No
CUST-0151,Female,No,Yes,Yes,40,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),95.66,3853.75,No
CUST-0152,Male,No,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),15.45,307.83,No
CUST-0153,Female,No,Yes,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),31.56,834.91,No
CUST-0154,Female,No,No,Yes,1,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,65.42,59.04,No
CUST-0155,Female,No,No,No,18,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),15.42,317.77,Yes
CUST-0156,Male,Yes,Yes,No,23,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),67.11,1554.62,Yes
CUST-0157,Female,No,No,Yes,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),15.66,361.51,No
CUST-0158,Female,No,Yes,No,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),36.49,1789.01,No
CUST-0159,Male,No,No,No,8,Yes,No,DSL,Yes,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,50.06,391.42,Yes
CUST-0160,Female,No,Yes,Yes,13,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),67.92,877.9,No
CUST-0161,Male,No,No,Yes,64,Yes,No,Fiber optic,Yes,No,No internet service,No,No,Yes,Two year,No,Credit card (automatic),84.08,5376.38,No
CUST-0162,Female,No,Yes,Yes,28,Yes,No,Fiber optic,No,No,No,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),88.79,2515.12,No
CUST-0163,Male,No,No,No,4,Yes,No,DSL,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,47.48,182.7,Yes
CUST-0164,Male,No,No,No,58,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No internet service,Two year,No,Mailed check,75.43,4415.64,No
CUST-0165,Male,No,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),27.62,175.15,Yes
CUST-0166,Male,No,No,Yes,24,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,83.2,2027.38,No
