Call ID,Agent,Date,Time,Topic,Answered (Y/N),Resolved (Y/N),Speed of Answer (seconds),Satisfaction Rating
C0066,Sarah,2021-02-06,12:21:00,Technical Support,Y,Y,45,3
C0067,Sarah,2021-01-28,10:26:00,Admin Support,Y,Y,25,3
C0068,Sarah,2021-03-16,19:01:00,Admin Support,N,N,,
C0069,Diane,2021-01-01,19:19:00,Admin Support,Y,N,117,4
C0070,Stewart,2021-01-29,12:31:00,Technical Support,Y,Y,113,5
C0071,Sarah,2021-03-21,15:58:00,Technical Support,Y,Y,16,2
C0072,Sarah,2021-03-01,12:16:00,Payment related,Y,Y,93,4
C0073,Joe,2021-02-23,12:05:00,Technical Support,Y,N,23,5
C0074,Jim,2021-03-25,10:41:00,Contract related,Y,Y,73,3
C0075,Greg,2021-01-20,12:30:00,Payment related,Y,Y,65,4
C0076,Martha,2021-01-22,15:47:00,Contract related,Y,N,51,5
C0077,Diane,2021-01-04,19:36:00,Streaming,Y,N,111,5
C0078,Martha,2021-03-17,16:40:00,Contract related,Y,Y,87,5
C0079,Sarah,2021-01-06,13:27:00,Admin Support,Y,Y,175,4
C0080,Greg,2021-01-14,14:23:00,Contract related,Y,N,49,4
C0081,Diane,2021-03-10,17:29:00,Streaming,Y,N,78,4
C0082,Stewart,2021-02-05,18:15:00,Payment related,Y,Y,107,4
C0083,Greg,2021-01-24,14:22:00,Contract related,Y,Y,162,5
C0084,Diane,2021-01-02,14:12:00,Admin Support,Y,Y,135,4
C0085,Diane,2021-03-24,16:28:00,Payment related,Y,Y,66,4
C0086,Stewart,2021-03-26,15:30:00,Payment related,Y,Y,150,4
C0087,Dan,2021-02-09,12:07:00,Technical Support,Y,Y,147,5
C0088,Martha,2021-01-28,17:17:00,Technical Support,Y,N,144,4
C0089,Jim,2021-02-07,12:11:00,Contract related,Y,Y,42,3
C0090,Greg,2021-02-07,16:08:00,Admin Support,Y,N,36,5
C0091,Greg,2021-03-03,14:11:00,Admin Support,N,N,,
C0092,Greg,2021-01-15,18:25:00,Streaming,Y,Y,23,3
C0093,Sarah,2021-02-01,11:48:00,Admin Support,Y,Y,168,3
C0094,Greg,2021-02-26,13:37:00,Contract related,N,N,,
C0095,Martha,2021-03-21,10:47:00,Technical Support,Y,N,170,3
C0096,Jim,2021-01-31,11:04:00,Technical Support,Y,Y,162,4
C0097,Martha,2021-02-06,16:44:00,Technical Support,N,N,,
C0098,Diane,2021-02-03,17:40:00,Technical Support,Y,N,60,4
C0099,Greg,2021-02-04,18:04:00,Admin Support,Y,N,162,5
C0100,Stewart,2021-01-16,14:19:00,Streaming,Y,N,138,4
C0101,Jim,2021-03-18,10:27:00,Payment related,Y,Y,16,2
C0102,Dan,2021-03-15,10:48:00,Contract related,Y,Y,123,5
C0103,Stewart,2021-02-25,15:31:00,Payment related,N,N,,
C0104,Greg,2021-02-22,13:42:00,Admin Support,Y,Y,115,5
C0105,Jim,2021-03-12,10:05:00,Contract related,Y,Y,113,5
C0106,Jim,2021-03-01,14:12:00,Technical Support,Y,Y,137,4
C0107,Diane,2021-02-04,15:59:00,Technical Support,Y,N,134,2
C0108,Martha,2021-02-09,15:35:00,Technical Support,Y,Y,39,4
C0109,Diane,2021-03-05,19:18:00,Admin Support,Y,Y,133,5
C0110,Dan,2021-03-12,11:12:00,Streaming,N,N,,
C0111,Jim,2021-02-05,17:54:00,Payment related,Y,N,139,3
C0112,Stewart,2021-02-08,18:37:00,Technical Support,N,N,,
C0113,Joe,2021-02-27,15:22:00,Technical Support,Y,N,106,4
C0114,Stewart,2021-03-31,12:24:00,Admin Support,Y,N,21,4
C0115,Dan,2021-02-19,20:50:00,Admin Support,N,N,,
C0116,Stewart,2021-01-05,11:37:00,Streaming,Y,Y,122,2
C0117,Martha,2021-01-19,14:41:00,Admin Support,N,N,,
C0118,Sarah,2021-02-03,13:44:00,Payment related,Y,Y,94,5
C0119,Greg,2021-03-22,16:48:00,Technical Support,Y,Y,168,2
C0120,Greg,2021-01-12,14:06:00,Streaming,Y,Y,35,4
C0121,Sarah,2021-01-06,13:03:00,Contract related,Y,Y,47,3
C0122,Diane,2021-03-29,17:10:00,Admin Support,Y,Y,107,4
C0123,Stewart,2021-03-16,11:29:00,Payment related,Y,Y,180,1
C0124,Sarah,2021-03-28,15:04:00,Payment related,Y,Y,160,4
C0125,Stewart,2021-02-28,18:12:00,Streaming,N,N,,
C0126,Sarah,2021-01-31,13:22:00,Payment related,Y,N,85,1
C0127,Greg,2021-01-02,15:43:00,Technical Support,Y,N,165,5
C0128,Dan,2021-03-19,17:14:00,Streaming,Y,Y,178,5
C0129,Martha,2021-03-22,16:19:00,Payment related,Y,Y,103,5
C0130,Greg,2021-02-11,17:11:00,Technical Support,Y,N,103,4
C0131,Greg,2021-02-02,19:30:00,Payment related,N,N,,
C0132,Joe,2021-01-15,14:04:00,Streaming,Y,N,111,5
C0133,Joe,2021-02-20,09:34:00,Streaming,Y,Y,77,4
C0134,Diane,2021-03-28,12:01:00,Streaming,Y,N,93,5
C0135,Jim,2021-03-23,18:58:00,Payment related,Y,Y,39,3
C0136,Dan,2021-03-05,11:15:00,Admin Support,N,N,,
C0137,Dan,2021-02-28,13:47:00,Admin Support,Y,Y,160,5
C0138,Joe,2021-03-25,11:31:00,Technical Support,Y,N,81,1
C0139,Martha,2021-02-26,14:15:00,Payment related,N,N,,
C0140,Stewart,2021-03-11,19:41:00,Streaming,Y,Y,58,5
C0141,Dan,2021-03-26,12:40:00,Contract related,Y,Y,95,3
C0142,Dan,2021-01-27,10:48:00,Contract related,Y,Y,69,4
C0143,Greg,2021-01-01,12:09:00,Technical Support,N,N,,
C0144,Jim,2021-01-15,16:01:00,Technical Support,Y,Y,70,4
C0145,Joe,2021-02-03,10:47:00,Contract related,Y,Y,26,4
C0146,Stewart,2021-03-17,11:32:00,Streaming,Y,Y,178,4
C0147,Stewart,2021-01-08,20:54:00,Streaming,Y,Y,135,5
C0148,Joe,2021-01-11,13:09:00,Admin Support,Y,Y,172,4
C0149,Diane,2021-03-18,15:29:00,Admin Support,Y,Y,39,5
C0150,Joe,2021-02-27,18:26:00,Admin Support,Y,Y,116,5
C0151,Stewart,2021-02-10,16:23:00,Streaming,N,N,,
C0152,Jim,2021-01-12,18:05:00,Contract related,Y,N,105,5
C0153,Sarah,2021-03-13,15:42:00,Streaming,Y,Y,180,5
C0154,Diane,2021-02-06,15:22:00,Streaming,Y,Y,49,4
C0155,Jim,2021-02-14,18:23:00,Contract related,Y,Y,67,5
C0156,Joe,2021-03-26,18:17:00,Streaming,Y,Y,89,5
C0157,Martha,2021-01-24,18:36:00,Contract related,Y,Y,172,5
C0158,Martha,2021-01-28,13:29:00,Streaming,Y,Y,93,5
C0159,Stewart,2021-01-20,11:39:00,Contract related,Y,Y,123,4
C0160,Stewart,2021-02-26,14:13:00,Contract related,Y,Y,120,2
C0161,Diane,2021-03-27,13:14:00,Technical Support,Y,Y,11,3
C0162,Diane,2021-02-02,13:07:00,Contract related,Y,N,54,2
C0163,Stewart,2021-03-13,18:51:00,Streaming,Y,Y,20,4
C0164,Jim,2021-02-10,15:36:00,Payment related,Y,Y,84,2
C0165,Martha,2021-01-22,17:39:00,Technical Support,Y,Y,102,2
C0166,Dan,2021-02-25,15:33:00,Streaming,Y,N,96,3
C0167,Dan,2021-03-07,15:33:00,Technical Support,Y,N,99,4
C0168,Stewart,2021-01-14,11:12:00,Admin Support,Y,Y,177,2
C0169,Joe,2021-03-14,17:28:00,Payment related,Y,N,174,4
C0170,Joe,2021-01-20,14:30:00,Contract related,Y,Y,80,4
C0171,Martha,2021-01-10,13:28:00,Contract related,Y,Y,83,2
C0172,Diane,2021-03-18,14:29:00,Payment related,Y,N,20,4
C0173,Stewart,2021-03-19,14:09:00,Streaming,N,N,,
C0174,Stewart,2021-02-13,20:05:00,Contract related,Y,Y,73,5
C0175,Jim,2021-03-08,15:23:00,Payment related,Y,Y,114,5
C0176,Dan,2021-01-09,13:35:00,Payment related,Y,Y,178,5
C0177,Greg,2021-01-11,15:09:00,Admin Support,N,N,,
C0178,Martha,2021-01-17,15:05:00,Admin Support,Y,Y,94,5
C0179,Stewart,2021-03-07,13:23:00,Technical Support,Y,N,97,5
C0180,Jim,2021-01-29,20:09:00,Payment related,Y,N,35,4
C0181,Dan,2021-03-21,11:24:00,Admin Support,Y,Y,169,5
C0182,Stewart,2021-01-06,14:43:00,Technical Support,Y,N,166,4
C0183,Stewart,2021-03-10,12:51:00,Admin Support,Y,N,59,4
C0184,Dan,2021-02-06,17:32:00,Payment related,Y,N,61,5
C0185,Greg,2021-01-07,16:55:00,Streaming,Y,N,142,5
C0186,Diane,2021-01-21,12:57:00,Admin Support,Y,N,33,5
C0187,Martha,2021-02-14,19:26:00,Payment related,Y,Y,70,4
C0188,Dan,2021-01-29,09:59:00,Streaming,Y,Y,95,5
C0189,Jim,2021-02-06,19:30:00,Streaming,Y,Y,130,4
C0190,Martha,2021-01-03,12:53:00,Payment related,Y,N,165,4
C0191,Martha,2021-01-31,13:03:00,Admin Support,Y,Y,169,4
C0192,Jim,2021-03-18,15:40:00,Contract related,Y,Y,46,4
C0193,Martha,2021-02-15,12:26:00,Contract related,Y,Y,144,5
C0194,Sarah,2021-03-11,14:32:00,Payment related,Y,Y,130,1
C0195,Joe,2021-02-02,17:22:00,Technical Support,Y,Y,178,4
C0196,Dan,2021-01-06,13:21:00,Admin Support,N,N,,
C0197,Martha,2021-03-31,14:11:00,Admin Support,N,N,,
C0198,Sarah,2021-01-05,13:02:00,Contract related,Y,N,90,5
C0199,Joe,2021-03-02,12:48:00,Payment related,Y,Y,22,5
C0200,Stewart,2021-01-16,17:27:00,Admin Support,N,N,,
C0201,Martha,2021-02-13,20:31:00,Admin Support,Y,Y,142,3
C0202,Greg,2021-01-11,14:52:00,Payment related,Y,Y,36,2
C0203,Joe,2021-02-27,15:27:00,Contract related,Y,Y,124,1
C0204,Martha,2021-02-25,12:50:00,Admin Support,N,N,,
C0205,Stewart,2021-02-16,14:47:00,Streaming,Y,N,46,5
C0206,Dan,2021-01-17,10:49:00,Admin Support,Y,Y,155,1
C0207,Greg,2021-02-17,13:48:00,Technical Support,Y,Y,103,4
C0208,Greg,2021-01-15,09:11:00,Admin Support,Y,Y,153,2
C0209,Martha,2021-01-28,20:18:00,Admin Support,Y,N,61,2
C0210,Joe,2021-01-23,19:28:00,Payment related,N,N,,
C0211,Dan,2021-01-09,15:18:00,Technical Support,N,N,,
C0212,Dan,2021-02-16,14:07:00,Technical Support,N,N,,
C0213,Martha,2021-03-05,09:35:00,Streaming,Y,Y,151,2
C0214,Martha,2021-02-09,13:45:00,Technical Support,Y,Y,114,5
C0215,Dan,2021-02-10,16:28:00,Technical Support,Y,Y,42,5
C0216,Dan,2021-02-25,14:55:00,Payment related,Y,Y,49,4
C0217,Martha,2021-01-29,13:33:00,Payment related,N,N,,
C0218,Dan,2021-01-26,15:35:00,Contract related,Y,Y,167,4
C0219,Jim,2021-03-16,11:42:00,Streaming,Y,N,96,5
C0220,Sarah,2021-01-11,10:41:00,Contract related,Y,Y,63,5
C0221,Sarah,2021-03-23,09:56:00,Payment related,Y,Y,87,4
C0222,Dan,2021-02-28,10:03:00,Payment related,Y,Y,128,3
C0223,Martha,2021-02-10,16:55:00,Payment related,Y,Y,104,4
C0224,Sarah,2021-01-31,14:17:00,Contract related,Y,Y,22,4
C0225,Joe,2021-02-23,12:55:00,Contract related,N,N,,
C0226,Stewart,2021-02-10,12:10:00,Streaming,Y,Y,137,5
C0227,Jim,2021-01-12,19:32:00,Payment related,Y,Y,159,4
C0228,Martha,2021-03-05,15:53:00,Admin Support,Y,Y,147,1
C0229,Diane,2021-01-18,18:46:00,Payment related,Y,Y,21,4
C0230,Martha,2021-03-12,12:24:00,Technical Support,Y,N,81,5
C0231,Joe,2021-01-13,13:50:00,Technical Support,N,N,,
C0232,Stewart,2021-01-26,15:25:00,Contract related,Y,Y,45,5
C0233,Sarah,2021-02-28,11:57:00,Contract related,Y,Y,166,4
C0234,Stewart,2021-02-08,15:32:00,Contract related,N,N,,
C0235,Jim,2021-02-08,14:01:00,Contract related,Y,Y,116,4
C0236,Jim,2021-03-02,12:41:00,Contract related,Y,N,157,3
C0237,Diane,2021-03-03,11:40:00,Streaming,Y,N,107,3
C0238,Diane,2021-03-15,19:07:00,Admin Support,Y,Y,117,3
C0239,Diane,2021-03-06,17:58:00,Contract related,Y,N,25,5
C0240,Joe,2021-02-11,20:30:00,Contract related,Y,Y,54,4
C0241,Diane,2021-02-15,16:55:00,Technical Support,Y,Y,77,4
C0242,Greg,2021-02-05,15:14:00,Payment related,N,N,,
C0243,Sarah,2021-01-27,16:31:00,Admin Support,Y,Y,80,4
C0244,Stewart,2021-02-14,20:51:00,Payment related,Y,Y,30,4
C0245,Diane,2021-03-03,12:52:00,Technical Support,Y,N,79,3
C0246,Stewart,2021-01-07,16:33:00,Streaming,Y,Y,35,4
C0247,Dan,2021-03-29,17:00:00,Admin Support,N,N,,
C0248,Jim,2021-03-25,19:56:00,Streaming,Y,Y,83,4
C0249,Dan,2021-03-25,15:34:00,Admin Support,Y,N,19,5
C0250,Sarah,2021-01-23,19:02:00,Admin Support,N,N,,
C0251,Jim,2021-01-24,19:55:00,Streaming,N,N,,
C0252,Joe,2021-02-08,15:06:00,Payment related,N,N,,
C0253,Stewart,2021-02-28,20:34:00,Payment related,Y,N,44,5
C0254,Jim,2021-01-25,17:21:00,Payment related,Y,Y,75,5
C0255,Sarah,2021-02-07,15:48:00,Contract related,Y,Y,173,5
C0256,Diane,2021-02-11,10:42:00,Streaming,Y,N,132,4
C0257,Jim,2021-02-03,13:28:00,Payment related,Y,N,87,4
C0258,Greg,2021-03-25,13:15:00,Streaming,Y,Y,88,3
C0259,Stewart,2021-03-23,19:18:00,Contract related,Y,Y,44,4
C0260,Diane,2021-02-17,14:35:00,Technical Support,N,N,,
C0261,Martha,2021-03-29,17:55:00,Contract related,Y,Y,145,5
C0262,Diane,2021-01-15,10:35:00,Contract related,N,N,,
C0263,Stewart,2021-03-10,11:20:00,Streaming,N,N,,
C0264,Stewart,2021-03-29,12:37:00,Technical Support,Y,N,124,5
C0265,Sarah,2021-03-07,14:36:00,Payment related,Y,Y,88,5
C0266,Jim,2021-01-01,17:37:00,Streaming,Y,Y,26,4
C0267,Sarah,2021-03-02,09:26:00,Payment related,Y,Y,174,5
C0268,Sarah,2021-02-18,14:58:00,Streaming,N,N,,
C0269,Sarah,2021-03-29,20:55:00,Contract related,Y,Y,99,2
C0270,Jim,2021-01-17,16:14:00,Payment related,N,N,,
C0271,Joe,2021-03-01,16:34:00,Technical Support,Y,Y,68,3
C0272,Jim,2021-02-05,12:56:00,Technical Support,Y,Y,179,4
C0273,Jim,2021-01-27,10:38:00,Admin Support,Y,Y,22,3
C0274,Greg,2021-02-26,12:13:00,Technical Support,Y,N,45,4
C0275,Dan,2021-03-15,13:38:00,Contract related,Y,N,70,4
C0276,Sarah,2021-01-29,14:17:00,Contract related,Y,N,54,4
C0277,Sarah,2021-03-05,10:22:00,Contract related,N,N,,
C0278,Diane,2021-02-10,16:26:00,Payment related,Y,Y,147,4
C0279,Dan,2021-01-19,17:58:00,Admin Support,Y,Y,116,4
C0280,Diane,2021-02-01,12:21:00,Streaming,Y,N,104,2
C0281,Diane,2021-02-04,13:38:00,Admin Support,Y,N,58,5
C0282,Martha,2021-01-27,18:21:00,Admin Support,Y,N,64,5
C0283,Greg,2021-02-01,16:45:00,Admin Support,Y,N,151,4
C0284,Stewart,2021-03-01,15:22:00,Payment related,Y,Y,137,4
C0285,Sarah,2021-01-27,13:26:00,Payment related,Y,N,47,1
C0286,Joe,2021-01-20,12:14:00,Payment related,Y,N,137,4
C0287,Stewart,2021-03-04,20:41:00,Technical Support,Y,Y,100,3
C0288,Jim,2021-03-11,20:03:00,Streaming,Y,N,29,5
C0289,Stewart,2021-02-22,11:40:00,Payment related,Y,Y,12,3
C0290,Stewart,2021-01-08,15:42:00,Admin Support,N,N,,
C0291,Greg,2021-01-03,09:35:00,Streaming,Y,Y,80,4
C0292,Martha,2021-03-06,17:43:00,Contract related,Y,N,55,2
C0293,Martha,2021-01-20,12:39:00,Payment related,Y,N,78,5
C0294,Diane,2021-02-21,14:15:00,Payment related,N,N,,
C0295,Sarah,2021-03-29,18:05:00,Admin Support,Y,N,18,2
C0296,Joe,2021-03-12,14:40:00,Contract related,Y,Y,137,5
C0297,Jim,2021-01-13,19:58:00,Streaming,Y,Y,155,4
C0298,Joe,2021-03-29,19:57:00,Streaming,Y,Y,55,5
C0299,Sarah,2021-01-27,15:48:00,Streaming,N,N,,
C0300,Dan,2021-02-08,11:15:00,Streaming,Y,N,148,4
C0301,Sarah,2021-03-06,17:22:00,Payment related,Y,Y,29,4
C0302,Stewart,2021-01-04,15:50:00,Technical Support,N,N,,
C0303,Greg,2021-02-15,15:24:00,Technical Support,Y,Y,179,4
C0304,Joe,2021-01-10,10:09:00,Payment related,Y,N,49,5
C0305,Dan,2021-01-14,10:19:00,Admin Support,Y,N,36,3
C0306,Joe,2021-02-27,15:32:00,Admin Support,Y,Y,100,4
C0307,Diane,2021-01-02,13:24:00,Contract related,Y,Y,153,5
C0308,Martha,2021-03-08,11:24:00,Technical Support,Y,Y,78,4
C0309,Stewart,2021-02-25,12:19:00,Contract related,Y,Y,74,5
C0310,Sarah,2021-03-20,12:06:00,Payment related,Y,Y,111,4
C0311,Dan,2021-02-26,13:52:00,Payment related,N,N,,
C0312,Greg,2021-02-11,15:44:00,Admin Support,Y,Y,111,5
C0313,Diane,2021-03-15,17:20:00,Contract related,Y,N,110,4
C0314,Diane,2021-03-11,11:49:00,Admin Support,Y,N,128,5
C0315,Sarah,2021-02-07,18:04:00,Admin Support,N,N,,
C0316,Martha,2021-01-18,15:15:00,Admin Support,Y,Y,118,5
C0317,Joe,2021-03-18,14:25:00,Contract related,Y,N,117,4
C0318,Jim,2021-03-18,15:05:00,Contract related,Y,Y,180,4
C0319,Joe,2021-03-24,16:25:00,Admin Support,N,N,,
C0320,Diane,2021-01-14,09:16:00,Admin Support,Y,N,152,4
C0321,Jim,2021-02-17,13:49:00,Admin Support,Y,Y,48,4
C0322,Martha,2021-01-14,13:58:00,Technical Support,N,N,,
C0323,Stewart,2021-02-14,13:29:00,Admin Support,Y,Y,99,4
C0324,Martha,2021-02-10,10:02:00,Streaming,N,N,,
C0325,Dan,2021-02-13,16:43:00,Payment related,Y,N,72,4
C0326,Sarah,2021-03-13,14:29:00,Admin Support,Y,Y,57,3
C0327,Diane,2021-01-04,17:56:00,Technical Support,Y,Y,109,1
C0328,Joe,2021-02-05,17:51:00,Technical Support,Y,Y,147,3
C0329,Joe,2021-02-28,11:42:00,Contract related,N,N,,
C0330,Greg,2021-02-19,15:37:00,Contract related,Y,Y,127,4
C0331,Dan,2021-03-17,10:08:00,Contract related,Y,Y,39,3
C0332,Dan,2021-02-19,14:08:00,Contract related,Y,Y,134,4
C0333,Joe,2021-01-22,14:08:00,Streaming,Y,N,168,2
C0334,Stewart,2021-03-04,11:52:00,Admin Support,Y,Y,177,4
C0335,Greg,2021-02-26,14:05:00,Technical Support,Y,N,66,4
C0336,Martha,2021-03-10,12:49:00,Contract related,Y,N,136,4
C0337,Joe,2021-01-15,12:34:00,Contract related,N,N,,
C0338,Diane,2021-01-06,17:28:00,Payment related,Y,N,36,5
C0339,Martha,2021-01-05,14:22:00,Admin Support,N,N,,
C0340,Sarah,2021-01-16,17:15:00,Technical Support,Y,N,99,5
C0341,Jim,2021-03-20,11:13:00,Contract related,N,N,,
C0342,Greg,2021-02-14,15:38:00,Contract related,Y,Y,84,4
C0343,Sarah,2021-03-28,17:08:00,Streaming,N,N,,
C0344,Diane,2021-02-05,18:08:00,Admin Support,Y,Y,47,5
C0345,Martha,2021-03-04,11:40:00,Admin Support,Y,Y,125,2
C0346,Joe,2021-03-07,17:44:00,Admin Support,N,N,,
C0347,Martha,2021-03-04,13:00:00,Admin Support,N,N,,
C0348,Sarah,2021-03-23,16:22:00,Technical Support,N,N,,
C0349,Dan,2021-02-24,18:31:00,Contract related,Y,N,96,4
C0350,Stewart,2021-03-04,17:57:00,Streaming,Y,Y,35,4
C0351,Dan,2021-01-16,19:10:00,Payment related,Y,Y,119,3
C0352,Dan,2021-01-21,18:56:00,Streaming,Y,Y,74,2
C0353,Martha,2021-02-20,15:46:00,Streaming,Y,Y,177,2
C0354,Joe,2021-01-28,14:08:00,Streaming,Y,Y,123,1
C0355,Joe,2021-02-24,16:30:00,Payment related,Y,Y,36,2
C0356,Jim,2021-01-18,13:52:00,Contract related,Y,Y,46,2
C0357,Stewart,2021-03-25,11:22:00,Technical Support,Y,Y,48,5
C0358,Sarah,2021-01-12,19:08:00,Payment related,Y,Y,108,4
C0359,Greg,2021-01-18,12:41:00,Streaming,Y,Y,163,5
C0360,Jim,2021-03-26,18:13:00,Technical Support,Y,Y,110,4
C0361,Jim,2021-03-05,13:15:00,Payment related,Y,Y,145,5
C0362,Sarah,2021-02-10,11:55:00,Payment related,N,N,,
C0363,Martha,2021-03-11,16:48:00,Streaming,Y,N,28,1
C0364,Sarah,2021-02-03,12:59:00,Admin Support,Y,N,139,4
C0365,Martha,2021-03-31,13:40:00,Contract related,Y,Y,81,2
C0366,Martha,2021-01-27,20:09:00,Payment related,Y,Y,172,5
C0367,Jim,2021-03-31,14:54:00,Payment related,Y,Y,121,2
C0368,Dan,2021-03-27,17:47:00,Admin Support,Y,Y,45,5
C0369,Greg,2021-02-14,14:50:00,Technical Support,N,N,,
C0370,Martha,2021-02-17,11:49:00,Streaming,N,N,,
C0371,Stewart,2021-02-12,17:17:00,Admin Support,Y,Y,157,4
C0372,Dan,2021-03-07,13:31:00,Payment related,N,N,,
C0373,Martha,2021-01-21,12:06:00,Technical Support,N,N,,
C0374,Diane,2021-03-07,09:54:00,Streaming,N,N,,
C0375,Sarah,2021-03-02,13:58:00,Technical Support,Y,N,19,4
C0376,Martha,2021-02-11,12:58:00,Contract related,Y,Y,29,4
C0377,Martha,2021-03-28,19:11:00,Admin Support,Y,Y,21,5
C0378,Greg,2021-02-06,17:19:00,Contract related,Y,Y,12,4
C0379,Diane,2021-02-08,17:15:00,Contract related,Y,Y,136,5
C0380,Jim,2021-02-01,11:59:00,Payment related,Y,Y,98,4
C0381,Greg,2021-01-01,17:24:00,Streaming,N,N,,
C0382,Martha,2021-01-27,14:15:00,Streaming,Y,N,46,5
C0383,Martha,2021-01-30,19:33:00,Contract related,Y,N,127,5
C0384,Martha,2021-01-13,14:40:00,Contract related,N,N,,
C0385,Diane,2021-03-14,10:42:00,Payment related,N,N,,
C0386,Greg,2021-02-03,18:59:00,Technical Support,Y,Y,93,4
C0387,Stewart,2021-01-10,19:08:00,Admin Support,Y,Y,49,2
C0388,Greg,2021-02-10,13:34:00,Streaming,Y,N,125,4
C0389,Joe,2021-01-12,11:43:00,Technical Support,Y,Y,164,1
C0390,Dan,2021-01-12,16:22:00,Streaming,Y,Y,86,3
