CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Contract,PaperlessBilling2,PaymentMethod,MonthlyCharges,TotalCharges,Churned
CUST-0022,Female,1,Yes,Yes,60,Yes,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),108.68,6576.43,No
CUST-0023,Female,0,No,No,24,Yes,No,No,Yes,No,No,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),111.94,2618.74,No
CUST-0024,Female,0,No,Yes,7,Yes,No,No,No,Yes,Yes,No internet service,No,No,No,One year,Yes,Mailed check,47.23,347.01,No
CUST-0025,Female,0,No,No,57,Yes,Yes,DSL,No,No,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),52.56,2961.71,Yes
CUST-0026,Male,0,No,No,70,Yes,Yes,Fiber optic,No,No,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.43,1501.0,No
CUST-0027,Female,0,Yes,Yes,3,Yes,Yes,DSL,No,Yes,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),97.75,303.57,Yes
CUST-0028,Male,0,Yes,Yes,19,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),115.85,2250.69,Yes
CUST-0029,Female,0,Yes,No,66,Yes,Yes,No,No,No,Yes,No internet service,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),60.34,3847.79,No
CUST-0030,Male,0,No,No,56,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.89,4629.15,Yes
CUST-0031,Male,0,Yes,No,60,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,22.65,1293.94,No
CUST-0032,Male,0,Yes,No,46,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),114.92,5069.23,No
CUST-0033,Male,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,No,Two year,No,Electronic check,56.44,228.18,No
CUST-0034,Male,0,Yes,No,41,Yes,Yes,DSL,Yes,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),109.63,4313.81,Yes
CUST-0035,Male,0,No,No,4,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,39.17,163.06,Yes
CUST-0036,Male,1,No,No,64,No,Yes,No,Yes,No,Yes,No,No,No,No,Two year,Yes,Electronic check,39.08,2500.57,Yes
CUST-0037,Male,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,No,Two year,No,Bank transfer (automatic),56.51,1800.21,No
CUST-0038,Female,0,No,No,39,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,54.39,2132.96,No
CUST-0039,Male,0,Yes,No,53,Yes,Yes,DSL,No,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),102.82,5320.03,Yes
CUST-0040,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,No,Two year,No,Mailed check,99.78,2809.96,No
CUST-0041,Male,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),44.15,679.66,Yes
CUST-0042,Male,1,No,No,46,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,102.25,4739.08,Yes
CUST-0043,Male,0,Yes,No,9,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,36.81,324.89,No
CUST-0044,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,No,No,Two year,No,Mailed check,97.35,4235.86,No
CUST-0045,Male,1,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),44.06,2317.84,No
CUST-0046,Male,0,Yes,No,43,No,No,Fiber optic,No,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,22.12,923.33,No
CUST-0047,Female,1,Yes,No,28,Yes,Yes,DSL,No,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),101.65,2913.83,No
CUST-0048,Female,0,Yes,No,54,Yes,No,DSL,Yes,No,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),60.02,3138.45,No
CUST-0049,Male,0,No,Yes,18,Yes,Yes,DSL,No,No,No,No,No,No,No,Two year,No,Electronic check,107.38,2022.07,No
CUST-0050,Female,0,Yes,No,72,No,Yes,Fiber optic,No,No,No,No internet service,Yes,Yes,No internet service,Two year,Yes,Electronic check,65.76,4665.51,No
CUST-0051,Male,0,Yes,No,67,Yes,No,Fiber optic,No,No,Yes,No internet service,No,No,No internet service,One year,No,Mailed check,63.34,4423.52,No
CUST-0052,Male,0,Yes,Yes,65,Yes,Yes,DSL,No,No,Yes,No,No,No,No internet service,Two year,Yes,Electronic check,107.28,6937.56,No
CUST-0053,Female,0,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No,No internet service,One year,No,Electronic check,113.07,3642.89,No
CUST-0054,Female,1,No,No,52,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,No internet service,No,Two year,Yes,Electronic check,101.58,5145.98,No
CUST-0055,Female,1,No,Yes,56,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),27.5,1598.34,No
CUST-0056,Male,0,Yes,No,26,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,18.71,507.67,Yes
CUST-0057,Female,0,No,Yes,13,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),65.54,868.3,Yes
CUST-0058,Female,0,No,Yes,29,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,No,No internet service,One year,Yes,Mailed check,33.73,970.07,No
CUST-0059,Female,0,Yes,No,54,Yes,Yes,DSL,Yes,Yes,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),47.49,2479.22,Yes
CUST-0060,Male,0,No,No,44,Yes,No,DSL,No,Yes,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,116.5,5031.63,No
CUST-0061,Male,0,No,No,39,Yes,Yes,DSL,No,Yes,No,No,No,No internet service,No,Two year,Yes,Mailed check,61.96,2313.59,No
CUST-0062,Male,1,Yes,No,0,Yes,Yes,DSL,No,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),18.74,0.0,Yes
CUST-0063,Female,0,No,Yes,11,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,20.96,224.67,Yes
CUST-0064,Female,0,Yes,No,19,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Two year,No,Electronic check,25.51,480.87,No
CUST-0065,Female,0,Yes,Yes,29,No,Yes,DSL,No,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),24.24,697.72,No
CUST-0066,Female,0,No,Yes,50,No,Yes,DSL,No,Yes,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),24.46,1254.01,Yes
CUST-0067,Male,0,No,Yes,13,Yes,Yes,Fiber optic,No,No,No,No,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),82.19,1046.1,No
CUST-0068,Female,0,No,No,29,Yes,Yes,DSL,No,No,No,No,No,No,Yes,Two year,No,Mailed check,45.43,1343.23,No
CUST-0069,Female,0,Yes,Yes,46,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),113.12,5378.71,Yes
CUST-0070,Male,0,No,No,21,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,No,One year,Yes,Electronic check,50.76,1096.64,No
CUST-0071,Female,0,No,No,12,Yes,Yes,No,No,No,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,52.63,617.0,No
CUST-0072,Male,0,No,Yes,42,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,No internet service,Yes,One year,Yes,Mailed check,105.82,4288.23,No
CUST-0073,Female,0,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,44.12,598.5,No
CUST-0074,Male,0,No,Yes,30,Yes,No,DSL,No,No,No,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),44.09,1305.45,No
CUST-0075,Male,0,No,Yes,46,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,102.84,4817.62,No
CUST-0076,Male,0,Yes,No,13,Yes,Yes,No,Yes,No,No,No internet service,No internet service,No,No internet service,One year,Yes,Electronic check,81.66,1033.91,No
CUST-0077,Male,0,Yes,No,16,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,No,Mailed check,103.61,1725.12,No
CUST-0078,Male,0,No,No,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,No internet service,Two year,No,Electronic check,38.51,2182.0,No
CUST-0079,Female,0,No,No,69,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No internet service,One year,Yes,Electronic check,95.26,6406.22,Yes
CUST-0080,Female,0,No,No,62,Yes,No,Fiber optic,Yes,Yes,No,No,No internet service,No,No internet service,Two year,Yes,Electronic check,19.53,1189.17,No
CUST-0081,Male,1,No,No,17,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,No internet service,No,One year,Yes,Mailed check,71.49,1214.38,No
CUST-0082,Male,0,No,No,63,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,107.02,6875.83,Yes
CUST-0083,Male,0,No,Yes,7,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,67.29,451.11,No
CUST-0084,Female,1,Yes,No,34,Yes,Yes,Fiber optic,No,No,No,No,No,No internet service,No,Month-to-month,No,Mailed check,87.28,2856.83,Yes
CUST-0085,Male,0,Yes,No,15,No,Yes,DSL,No,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,No,Mailed check,99.44,1564.18,No
CUST-0086,Male,0,Yes,Yes,33,Yes,No,DSL,No,No,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),61.54,2122.5,Yes
CUST-0087,Female,0,No,No,35,Yes,No,DSL,Yes,Yes,No,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,96.71,3232.03,No
CUST-0088,Female,0,Yes,Yes,9,Yes,Yes,DSL,No,Yes,Yes,No,No,No internet service,No,Two year,No,Credit card (automatic),96.34,847.27,No
CUST-0089,Male,1,Yes,Yes,44,Yes,Yes,No,No,No,No,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),58.63,2523.5,No
CUST-0090,Male,0,Yes,Yes,49,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,86.13,4166.71,No
CUST-0091,Male,0,No,No,49,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),99.86,5056.16,No
CUST-0092,Male,0,Yes,No,36,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,112.84,4064.3,No
CUST-0093,Female,0,Yes,No,63,Yes,Yes,No,No,No,No,No,No internet service,No,No,Two year,Yes,Bank transfer (automatic),77.57,4989.65,No
CUST-0094,Male,0,Yes,No,69,Yes,Yes,DSL,No,No,No,No,No,No,No internet service,Month-to-month,No,Mailed check,58.52,4192.11,No
CUST-0095,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),22.53,571.03,No
CUST-0096,Male,0,Yes,No,24,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,No,Two year,No,Electronic check,34.37,852.81,No
CUST-0097,Female,1,No,No,53,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),84.16,4619.15,No
CUST-0098,Female,0,Yes,No,32,No,Yes,DSL,No,No,No,No,No internet service,No,No,One year,Yes,Credit card (automatic),21.58,713.4,No
CUST-0099,Male,0,No,Yes,52,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,100.81,5341.64,No
CUST-0100,Female,1,No,No,41,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,No,No,One year,No,Electronic check,106.07,4347.99,No
CUST-0101,Female,0,Yes,Yes,69,Yes,Yes,No,Yes,Yes,No,No internet service,No,No,Yes,Month-to-month,Yes,Credit card (automatic),108.45,7557.93,No
CUST-0102,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,No,Two year,Yes,Electronic check,76.64,5457.16,No
CUST-0103,Female,0,No,Yes,61,No,Yes,DSL,No,No,No,Yes,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),20.11,1173.14,No
CUST-0104,Female,0,Yes,Yes,45,No,Yes,Fiber optic,No,No,Yes,No internet service,No,Yes,Yes,Two year,Yes,Credit card (automatic),79.32,3433.04,No
CUST-0105,Female,1,No,No,29,Yes,Yes,No,Yes,Yes,No,No,No,No internet service,No internet service,One year,No,Credit card (automatic),108.59,3300.7,No
CUST-0106,Female,0,No,No,67,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,56.49,3775.01,No
CUST-0107,Male,0,No,No,5,Yes,Yes,DSL,No,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),51.0,247.3,No
CUST-0108,Female,0,No,No,72,Yes,Yes,No,Yes,No,No,No,No internet service,No,No,Two year,No,Credit card (automatic),104.06,7177.09,No
CUST-0109,Male,0,No,Yes,40,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,92.93,3568.64,Yes
CUST-0110,Female,0,Yes,Yes,23,Yes,Yes,No,No,Yes,Yes,No,No,No,No internet service,Month-to-month,No,Electronic check,61.78,1481.07,Yes
CUST-0111,Female,0,Yes,No,28,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,87.44,2503.14,No
CUST-0112,Male,0,No,Yes,30,Yes,Yes,No,No,No,Yes,No internet service,No internet service,No,Yes,Two year,No,Mailed check,66.11,2009.8,No
CUST-0113,Female,0,No,No,26,Yes,No,DSL,No,Yes,Yes,No,Yes,No,No internet service,Month-to-month,No,Electronic check,51.46,1384.32,No
CUST-0114,Male,0,No,No,38,No,No,No,No,Yes,No,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),26.29,980.62,Yes
CUST-0115,Female,1,No,No,63,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,78.7,4917.02,No
CUST-0116,Male,0,Yes,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,No,One year,No,Electronic check,94.01,1294.75,No
CUST-0117,Female,1,Yes,No,62,Yes,Yes,No,No,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,35.04,2170.72,No
CUST-0118,Female,1,No,No,44,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Two year,No,Electronic check,24.48,1111.5,No
CUST-0119,Male,1,Yes,No,48,Yes,Yes,DSL,No,No,No,No internet service,No,No,Yes,One year,Yes,Electronic check,25.86,1260.32,Yes
CUST-0120,Female,0,No,No,4,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),67.43,256.61,Yes
CUST-0121,Male,0,Yes,No,61,Yes,No,DSL,Yes,No,No,Yes,Yes,No internet service,No internet service,One year,No,Mailed check,61.35,3737.9,No
CUST-0122,Male,1,No,Yes,25,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,100.88,2625.8,Yes
CUST-0123,Male,0,Yes,Yes,11,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,95.42,1033.06,Yes
CUST-0124,Female,1,No,No,30,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),40.65,1203.85,Yes
CUST-0125,Female,0,Yes,Yes,49,Yes,Yes,DSL,Yes,Yes,No,No internet service,Yes,No,Yes,Two year,Yes,Credit card (automatic),23.44,1180.78,No
CUST-0126,Female,1,No,No,59,Yes,No,No,No,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),100.24,6154.28,No
CUST-0127,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),20.73,1418.8,Yes
CUST-0128,Female,0,No,Yes,36,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,106.36,4011.8,No
CUST-0129,Female,1,Yes,No,6,No,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,29.83,181.18,No
CUST-0130,Female,1,No,Yes,23,Yes,Yes,DSL,No,No,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),87.35,2101.88,Yes
CUST-0131,Male,0,Yes,Yes,15,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,No,No,Two year,No,Electronic check,81.51,1172.25,Yes
CUST-0132,Female,0,No,No,19,Yes,Yes,DSL,Yes,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,88.02,1613.08,No
CUST-0133,Female,0,Yes,No,38,No,Yes,DSL,Yes,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),102.77,3789.5,No
CUST-0134,Female,0,Yes,Yes,40,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,No,No,One year,Yes,Mailed check,77.62,3195.52,No
CUST-0135,Female,0,No,Yes,29,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,No,No,Month-to-month,Yes,Electronic check,85.38,2363.7,Yes
CUST-0136,Female,1,Yes,No,0,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,49.03,0.0,No
CUST-0137,Male,0,No,Yes,62,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,23.79,1483.06,No
CUST-0138,Female,0,Yes,No,0,No,Yes,Fiber optic,Yes,No,No,No,Yes,No internet service,No internet service,One year,No,Mailed check,84.02,0.0,No
CUST-0139,Male,0,No,Yes,67,Yes,No,Fiber optic,No,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),108.69,7272.29,Yes
CUST-0140,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),22.13,21.16,Yes
CUST-0141,Male,0,Yes,Yes,40,Yes,Yes,DSL,No,No,No,Yes,No internet service,No,No,Month-to-month,No,Electronic check,109.79,4373.1,No
CUST-0142,Female,0,No,No,3,Yes,No,DSL,Yes,No,No,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),90.48,258.1,Yes
CUST-0143,Male,0,Yes,Yes,62,No,Yes,Fiber optic,Yes,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),81.66,4928.72,No
CUST-0144,Female,0,Yes,No,20,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,90.24,1721.6,No
CUST-0145,Female,1,No,No,62,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,49.66,3056.58,No
CUST-0146,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No internet service,No,One year,Yes,Mailed check,27.89,1608.97,No
CUST-0147,Female,1,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,68.1,2162.04,No
CUST-0148,Female,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,No,No,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),57.88,2543.28,Yes
CUST-0149,Male,0,No,No,41,Yes,Yes,Fiber optic,No,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),112.28,4803.96,Yes
CUST-0150,Male,0,No,Yes,43,Yes,No,Fiber optic,No,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),72.99,3140.59,No
CUST-0151,Male,0,No,No,15,Yes,No,No,No,Yes,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),27.32,416.72,No
CUST-0152,Female,0,Yes,Yes,45,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),49.99,2180.37,No
CUST-0153,Female,0,No,No,71,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,No,No internet service,Month-to-month,No,Electronic check,49.64,3676.69,Yes
CUST-0154,Female,0,No,Yes,31,Yes,No,Fiber optic,Yes,No,No,No internet service,No internet service,No,No internet service,One year,No,Electronic check,117.63,3684.12,No
CUST-0155,Female,1,No,No,60,Yes,Yes,DSL,No,Yes,No,No,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),30.95,1882.31,No
CUST-0156,Male,0,No,Yes,56,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,No internet service,Yes,One year,No,Electronic check,47.16,2554.8,No
CUST-0157,Female,0,No,No,46,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Electronic check,75.3,3321.3,No
CUST-0158,Female,0,No,No,27,Yes,No,No,No,No,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),91.37,2489.42,No
CUST-0159,Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,81.74,1803.82,No
CUST-0160,Male,1,No,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),56.48,2799.05,No
CUST-0161,Male,0,No,No,30,Yes,Yes,DSL,No,Yes,No,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,110.46,3313.39,No
CUST-0162,Male,0,Yes,No,64,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No internet service,No,Two year,No,Mailed check,63.24,4135.68,No
CUST-0163,Male,1,Yes,No,12,Yes,Yes,DSL,Yes,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,51.15,596.85,No
CUST-0164,Male,0,Yes,No,6,Yes,Yes,No,No,No,No,No,No internet service,No,No,Month-to-month,No,Electronic check,98.26,607.35,No
CUST-0165,Male,0,Yes,No,6,Yes,No,DSL,No,No,No,No internet service,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),96.56,561.59,No
CUST-0166,Female,0,Yes,No,49,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,No internet service,One year,Yes,Bank transfer (automatic),35.9,1831.37,No
CUST-0167,Female,0,Yes,No,32,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No internet service,No,One year,Yes,Mailed check,44.77,1473.18,No
CUST-0168,Female,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,63.05,591.48,No
CUST-0169,Female,1,Yes,No,45,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No internet service,No internet service,One year,Yes,Electronic check,45.39,2109.68,No
